LRIMOShipNo,ShipName,ShipStatus,ShiptypeLevel5,GrossTonnage,Deadweight,BollardPull,Breadth,BunkersDescriptiveNarrative,CargoCapacitiesNarrative,CargoGradesSegregations,ClassNarrative,CountryOfBuild,DateOfBuild,Displacement,Draught,FlagCode,FlagName,FuelConsumptionTotal,FuelType1Capacity,FuelType1Code,FuelType1First,FuelType2Capacity,FuelType2Code,FuelType2Second,GasCapacity,GrainCapacity,HullType,HullTypeCode,IceCapabilityDescriptiveNarrative,Length,LiquidCapacity,MaritimeMobileServiceIdentityMMSINumber,NumberofTanks,Operator,PassengerCapacity,PortofRegistryCode,PortofRegistry,SegregatedBallastCapacity,SegregatedBallastTanks,Shipbuilder,ShiptypeGroup,ShiptypeLevel2,ShiptypeLevel3,ShiptypeLevel4,ShiptypeLevel5HullType,ShiptypeLevel5SubGroup,ShiptypeLevel5SubType,SlopTankCapacity,Speed,StandardShipDesign,StatCode5,TEU
9310537,NORD NEPTUNE,In Service/Commission,Bulk Carrier,38892,75726,0,32.26,,"Grain 89,201",0,Bureau Veritas (2010-11-00)Survey Type: Date: 2006-10  BV: Class Notation: I Bulk carrier ESP ,Japan,200610,0,13.97,DIS,Denmark (Dis),0,2655,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,89201,,,Ice strengthened,225,0,219194000,,Norden A/S Dampskibsselskabet,0,276,Copenhagen,0,,Sanoyas Hishino Meisho Corp,Panamax - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,14,,A21A2BC,0
9310599,AMINE BULKER,In Service/Commission,Bulk Carrier,17663,28700,0,26,,"Grain 39,052; Bale 37,976; Segregated Ballast 9,355",0,"Nippon Kaiji Kyokai (2007-02-00)Survey Type: Date: 2007-02  NK: Class Notation: NS*(BC)(ESP)/MNS* CHG, MPP, LSA, RCF, AFS",Japan,200702,0,9.633,MTA,Malta,0,93,DF,Distillate Fuel,1024,RF,Residual Fuel,0,39052,,,,176.63,0,256368000,,Lauritzen Bulkers A/S,0,9130,Valletta,9355,,Shin Kochi,Large Handysize - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,14.5,,A21A2BC,0
9310604,SOFIE BULKER,In Service/Commission,Bulk Carrier,17663,28682,0,26,,"Grain 39,052; Bale 37,976",0,"Nippon Kaiji Kyokai (2007-03-00)Survey Type: Date: 2007-03  NK: Class Notation: NS*(BC)(ESP)/MNS* CHG, MPP, LSA, RCF, AFS",Japan,200703,0,9.633,MTA,Malta,0,93,DF,Distillate Fuel,1024,RF,Residual Fuel,0,39052,,,,176.63,0,256367000,,Lauritzen Bulkers A/S,0,9130,Valletta,0,,Shin Kochi,Large Handysize - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,14.1,,A21A2BC,0
9310616,UNI AUC ONE,In Service/Commission,Bulk Carrier,17663,28709,0,26,,"Grain 39,052; Bale 37,976; Segregated Ballast 9,355",0,"Nippon Kaiji Kyokai (2007-07-00)Survey Type: Date: 2007-06  NK: Class Notation: NS*(BC)(ESP)/MNS* CHG, MPP, LSA, RCF, AFS",Japan,200706,0,9.633,HKG,"Hong Kong, China",0,93,DF,Distillate Fuel,1024,RF,Residual Fuel,0,39052,,,,176.63,0,477013600,,Oldendorff Carriers GmbH & Co,0,9377,Hong Kong,9355,,Shin Kochi,Large Handysize - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,14.5,,A21A2BC,0
9310628,BILLION TRADER,In Service/Commission,Bulk Carrier,42910,82922,0,32.26,,"Grain 97,123",0,"Bureau Veritas (2005-10-00) BV: Special Survey Date: 2010-07-01 Class Notation: I Bulk carrier ESP -nonhomload Holds No 2, 4 and 6 may be empty",Japan,200509,93768,14.429,PHI,Philippines,0,0,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,97123,,,,228.99,0,548722000,,SwissMarine Services SA,0,2821,Manila,0,,Tsuneishi Holdings - Tadotsu,Panamax - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,14.5,Kamsarmax,A21A2BC,0
9310678,GLOBAL ISLAND,In Service/Commission,Bulk Carrier,29960,53556,0,32.26,,"Grain 68,927; Bale 65,526",0,"Nippon Kaiji Kyokai (2004-00-00) NK: Special Survey Date: 2009-08-03 Class Notation: NS*(BC, SHC 2,4 E)(ESP)/MNS* CHG, MPP, LSA, RCF, AFS",Japan,200407,0,12.3,PAN,Panama,0,1940,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,68927,,,,189.94,0,354445000,,NYK Global Bulk Corp,0,1010,Panama,0,,Iwagi Zosen Co Ltd,Large Handymax - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,15,,A21A2BC,0
9310721,JASMINE ACE,In Service/Commission,Bulk Carrier,19883,32946,0,28.4,,"Grain 42,857; Bale 40,896",0,"Nippon Kaiji Kyokai (2006-05-00)Survey Type: Date: 2006-05  NK: Class Notation: NS*(BC)(ESP)/MNS* CHG, MPP, LSA, RCF, AFS",Japan,200605,0,10.019,VAN,Vanuatu,0,1410,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,42857,,,,177,0,576063000,,Sanko Steamship Co Ltd,0,8167,Port Vila,0,,Kanda Kawajiri,Large Handysize - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,14.3,,A21A2BC,0
9310745,ANSAC KATHRYN,In Service/Commission,Bulk Carrier,19885,32728,0,28.4,,"Grain 42,857; Bale 40,896; Segregated Ballast 11,786",0,"Nippon Kaiji Kyokai (2006-08-00)Survey Type: Date: 2006-08  NK: Class Notation: NS*(BC)(ESP)/MNS* CHG, MPP, LSA, RCF, AFS",Japan,200608,0,10.019,PAN,Panama,0,1410,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,42857,,,,177,0,356928000,,Sincere Industrial Corp,0,1010,Panama,11786,,Kanda Kawajiri,Large Handysize - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,14.3,,A21A2BC,0
9310757,ASTER K,In Service/Commission,Bulk Carrier,19885,32588,0,28.4,,"Grain 42,857; Bale 40,896",0,"Nippon Kaiji Kyokai (2006-11-00)Survey Type: Date: 2006-11  NK: Class Notation: NS*(BC, SHC 2,4 E)(ESP)/MNS* CHG, MPP, LSA, RCF, AFS",Japan,200611,0,10.019,PAN,Panama,0,1410,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,42857,,,,177,0,372064000,,Kawasaki Kisen Kaisha Ltd,0,1010,Panama,0,,Kanda Kawajiri,Large Handysize - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,14.3,,A21A2BC,0
9310783,THORCO SAPPHIRE,In Service/Commission,General Cargo Ship (with Ro-Ro facility),8987,10037,0,19.6,,"Grain 19,501; Bale 18,350",0,"Nippon Kaiji Kyokai (2004-03-00) NK: Special Survey Date: 2008-12-11 Class Notation: NS*(RoRo, Eq CV)/MNS* CHG, MPP, LSA, RCF, AFS",Japan,200403,0,7.881,HKG,"Hong Kong, China",0,600,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,19501,,,,119.11,0,477837000,,Thorco Shipping A/S,0,9377,Hong Kong,0,,Kegoya,,Dry Cargo/Passenger,General Cargo,General Cargo Ship,Ship Shape Including Multi-Hulls,General Cargo,General Cargo Ship (with Ro-Ro facility),,13.75,,A31A2GA,0
9311139,GLORIOUS PEONY,In Service/Commission,Wood Chips Carrier,40393,49798,0,32.2,,"Grain 102,277",0,"Nippon Kaiji Kyokai (2007-07-00)Survey Type: Date: 2007-06  NK: Class Notation: NS*/MNS* CHG, MPP, LSA, RCF, M0, AFS",Japan,200706,0,11.527,PAN,Panama,0,2710,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,102277,,,,199.99,0,372828000,,NYK Line,0,1010,Panama,0,,Shin Kurushima Onishi,,Bulk Carriers,Other Bulk Dry,Wood Chips Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Wood Chips Carrier,,14.1,,A24B2BW,0
9311189,SANTA ROSALIA,In Service/Commission,Bulk Carrier,40033,75886,0,32.26,,"Grain 91,311; Segregated Ballast 21,373",0,"Nippon Kaiji Kyokai (2008-01-00)Survey Type: Date: 2008-01  NK: Class Notation: NS*(BC)(ESP)/MNS* MPP, LSA, RCF, M0, AFS",Japan,200801,0,14.028,PAN,Panama,0,3135,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,91311,,,,225,0,354632000,,Mitsubishi Ore Transport Co,0,1010,Panama,21373,,Tsuneishi Holdings - Fukuyama,Panamax - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,14,Tess-76,A21A2BC,0
9311191,PALMA BULKER,In Service/Commission,Bulk Carrier,40033,75843,0,32.26,,"Grain 91,311",0,"Nippon Kaiji Kyokai (2009-01-00)Survey Type: Date: 2009-01  NK: Class Notation: NS*(BC)(ESP)/MNS* MPP, LSA, RCF, M0, AFS",Japan,200901,0,14.028,PAN,Panama,0,3135,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,91311,,,,225,0,352604000,,Oldendorff Carriers GmbH & Co,0,1010,Panama,0,,Tsuneishi Holdings - Fukuyama,Panamax - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,14,Tess-76,A21A2BC,0
9311206,RED LOTUS,In Service/Commission,Bulk Carrier,42887,83007,0,32.26,,"Grain 97,233",0,"Nippon Kaiji Kyokai (2006-04-00)Survey Type: Date: 2006-04  NK: Class Notation: NS*(BC)(ESP)/MNS* MPP, LSA, RCF, M0, AFS",Japan,200604,0,14.429,PAN,Panama,0,2590,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,97233,,,,228.99,0,371978000,,C Bulk Carriers Transportes,0,1010,Panama,0,,Tsuneishi Holdings - Tadotsu,Panamax - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,14.5,Kamsarmax,A21A2BC,0
9311218,MARITIME BAGUI,In Service/Commission,Bulk Carrier,39969,76465,0,32.26,,"Grain 91,356; Segregated Ballast 21,331",0,"Nippon Kaiji Kyokai (2006-08-00)Survey Type: Date: 2006-08  NK: Class Notation: NS*(BC)(ESP)/MNS* MPP, LSA, RCF, M0, AFS",Japan,200608,0,14.028,PAN,Panama,0,2950,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,91356,,,,225,0,356679000,,COSCO BULK,0,1010,Panama,21331,,Tsuneishi Holdings - Fukuyama,Panamax - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,14,Tess-76,A21A2BC,0
9311256,FAIRCHEM STEED,In Service/Commission,Chemical Tanker,11642,19947,0,23.7,,"Liquid @ 98% 20,839; Segregated Ballast 7,777; Slops 1,354; Cargo heating coils",20,"Nippon Kaiji Kyokai (2005-07-00) NK: Special Survey Date: 2010-09-10 Class Notation: NS*(Tm or ob & C II & III)(ESP)/MNS* CHG, MPP, LSA, RCF, AFS",Japan,200507,25354,9.665,PAN,Panama,0,940,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,0,Double Hull (Marpol),DH,,145.53,20839,371206000,20,Fairfield Chemical Carriers,0,1010,Panama,7777,,Usuki Shipyard Co Ltd,,Tankers,Chemical,Chemical Tanker,Ship Shape Including Multi-Hulls,Petroleum Products,Chemical Tanker,1354,15.7,,A12A2TC,0
9311282,GLOBAL PARTNERSHIP,In Service/Commission,Bulk Carrier,89726,176967,0,45,,"Grain 198,878; Bale 195,968; Segregated Ballast 54,276",0,"Nippon Kaiji Kyokai (2006-08-00)Survey Type: Date: 2006-06  NK: Class Notation: NS*(BC, SHC 2,4,6,8 E)(ESP)/MNS* CHG, MPP, LSA, RCF, M0, AFS",Japan,200606,0,17.95,PAN,Panama,0,5080,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,198878,,,,288.97,0,353663000,,Doun Kisen KK,0,1010,Panama,54276,,Namura Shipbuilding - Imari,Capesize - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,14.8,,A21A2BC,0
9311402,PORT ALICE,In Service/Commission,Bulk Carrier,19791,31871,0,29.4,,"Grain 42,657; Bale 41,095",0,"Nippon Kaiji Kyokai (2005-00-00) NK: Special Survey Date: 2010-06-13 Class Notation: NS*(BC)(ESP)/MNS* CHG, MPP, LSA, RCF, AFS",Japan,200506,0,9.569,HKG,"Hong Kong, China",0,140,DF,Distillate Fuel,1400,RF,Residual Fuel,0,42657,"Double Bottom Entire, Double Sides Partial",DBEDSP,,175.53,0,477351600,,Pacific Basin Shipping Ltd,0,9377,Hong Kong,0,,Hakodate Dock - Hakodate,Large Handysize - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,14.5,Hakodate SH 32,A21A2BC,0
9311414,POS JADE,In Service/Commission,Bulk Carrier,19796,31886,0,29.4,,"Grain 42,657; Bale 41,095",0,"Nippon Kaiji Kyokai (2006-03-00) NK: Class Notation: NS*(BC)(ESP)/MNS* CHG, MPP, LSA, RCF, AFS",Japan,200603,0,9.569,HKG,"Hong Kong, China",0,1430,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,42657,"Double Bottom Entire, Double Sides Partial",DBEDSP,,175.53,0,477105400,,STX Pan Ocean Co Ltd,0,9377,Hong Kong,0,,Hakodate Dock - Hakodate,Large Handysize - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,14.5,Hakodate SH 32,A21A2BC,0
9311610,MILTIADIS M II,In Service/Commission,Crude/Oil Products Tanker,87146,162397,0,50,,"Liquid @ 98% 176,118; Segregated Ballast 57,301; Slops 3,832; Cargo heating coils",3,"Lloyd's Register (2009-10-24)LR Class: 100 A1 Survey Type: Special Survey Date: 2011-04 Class Notation: Double Hull oil tanker:ESP :Ice Class 1AS FS at a draight of 16.99m:Max/min draughts fwd 16.66/5.8m:Max/min draughts aft 17.48/9.1m:Power required 21712kw, power installed 21770kw LR Machinery Class: LMC LR Machinery Notations: UMS (Unmanned Machinery Spaces) , IGS Inert Gas Systems)Fee Numeral: 19710 ","Korea, South",200604,188140,16.524,LIB,Liberia,0,294,DF,Distillate Fuel,4067,RF,Residual Fuel,0,0,Double Hull (Marpol),DH,FS Ice Class 1A,280.5,176118,636012728,14,Capital Ship Management Corp,0,4028,Monrovia                              ,57301,,Daewoo Shipbuilding & Marine,Suezmax - Tanker,Tankers,Oil,Crude Oil Tanker,Ship Shape Including Multi-Hulls,Petroleum Products,Crude/Oil Products Tanker,3832,15.5,,A13A2TW,0
9311763,LORRAINE,In Service/Commission,Container Ship (Fully Cellular),27786,37800,0,29.8,,"TEU: 2,742 TEU @14:2,115 C Ho 1112 TEU C Dk 1630 TEU incl 400 ref C.",0,"Nippon Kaiji Kyokai (2006-12-00)Survey Type: Date: 2006-06  NK: Class Notation: NS(CNC, EQ C DG)/MNS CHG, MPP, LSA, RCF, MC, AFS",Germany,200606,0,11.4,LIB,Liberia,0,0,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,0,,,,221.74,0,636012905,,Hapag-Lloyd AG,0,4028,Monrovia                              ,0,,Aker MTW Werft GmbH,Sub Panamax - Containership,Dry Cargo/Passenger,Container,Container Ship,Ship Shape Including Multi-Hulls,Cellular Container,Container Ship (Fully Cellular),,22,Baltic CS 2700,A33A2CC,2742
9311787,CAP VILANO,In Service/Commission,Container Ship (Fully Cellular),28372,37800,0,29.8,,"TEU: 2,742 TEU @14:2,070 C Ho 1112 TEU C Dk 1630 TEU incl 400 ref C",0,"Germanischer Lloyd (2007-01-00)Survey Type: Date: 2006-08  GL: Special Survey Date: 2011-09-08 Class Notation: +/ 100 A5 E WITH FREEBOARD 5.040 M CONTAINER SHIP IW BWM SOLAS-II-2,REG.19 C2P58",Germany,200608,0,11.4,ABB,Antigua & Barbuda,0,0,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,0,,,FS Ice Class II,221.62,0,305345000,,Hamburg Sud,0,7778,Saint John's                          ,0,,Aker MTW Werft GmbH,Sub Panamax - Containership,Dry Cargo/Passenger,Container,Container Ship,Ship Shape Including Multi-Hulls,Cellular Container,Container Ship (Fully Cellular),,22,Baltic CS 2700,A33A2CC,2742
9311828,CAPE APRICOT,In Service/Commission,Bulk Carrier,90091,180310,0,45,,"Grain 199,725",0,"Nippon Kaiji Kyokai (2004-00-00) NK: Special Survey Date: 2009-06-28 Class Notation: NS*(BC, SHC 2,4,6,8 E)(ESP)/MNS* CHG, MPP, LSA, RCF, M0, AFS",Japan,200405,0,18.171,PAN,Panama,0,5390,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,199725,,,,288.93,0,351157000,,Kawasaki Kisen Kaisha Ltd,0,1010,Panama,0,,Koyo Dockyard Co Ltd,Capesize - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,14.5,,A21A2BC,0
9311866,TAIPAN,In Service/Commission,Vehicles Carrier,57692,21021,0,32.26,,"Segregated Ballast 7,757; Cars 6,658",0,Det norske Veritas (2006-12-00)Survey Type: Date: 2006-12 ,Poland,200612,0,10,BAH,Bahamas,0,135,DF,Distillate Fuel,3800,RF,Residual Fuel,0,0,,,,199.9,0,308921000,,EUKOR Car Carriers Inc,0,9961,Nassau                                ,7757,,Gdynia Stocznia SA,,Dry Cargo/Passenger,Ro-Ro Cargo,Vehicles Carrier,Ship Shape Including Multi-Hulls,Ro-Ro,Vehicles Carrier,,20.4,Gdynia 8168,A35B2RV,0
9312339,CAPE FLATTERY,In Service/Commission,Bulk Carrier,16978,28433,0,27.2,,"Grain 37,523; Bale 35,762",0,"Nippon Kaiji Kyokai (2004-00-00) NK: Special Survey Date: 2009-02-25 Class Notation: NS*(BC, SHC 2,4 E)(ESP)/MNS* CHG, MPP, LSA, RCF, AFS",Japan,200403,0,9.778,HKG,"Hong Kong, China",0,115,DF,Distillate Fuel,1110,RF,Residual Fuel,0,37523,,,,169.26,0,477522000,,Pacific Basin Shipping HK Ltd,0,9377,Hong Kong,0,,Imabari Shipbuilding - Imabari,Large Handysize - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,13.5,,A21A2BC,0
9312559,XIN CHANG SHA,In Service/Commission,Container Ship (Fully Cellular),41482,52214,0,32.25,,"Segregated Ballast 11,612; TEU: 4,250 TEU @14:2,800 C Ho 1586 TEU C Dk 2664 TEU incl 400 ref C.",0,China Classification Society (2005-11-00),"China, People's Republic Of",200511,0,12.8,CHR,"China, People's Republic Of",0,0,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,0,,,FS Ice Class II,263.23,0,413146000,,China Shipping Container Lines,0,1724,Shanghai,11612,,Dalian New Shipbuilding HI,Panamax - Containership,Dry Cargo/Passenger,Container,Container Ship,Ship Shape Including Multi-Hulls,Cellular Container,Container Ship (Fully Cellular),,24.2,Dalian C4250,A33A2CC,4250
9312561,XIN RI ZHAO,In Service/Commission,Container Ship (Fully Cellular),41482,52191,0,32.25,,"Segregated Ballast 11,612; TEU: 4,250 TEU @14:2,800 C Ho 1586 TEU C Dk 2664 TEU incl 400 ref C.",0,China Classification Society (2005-11-00)Survey Type: Date: 2005-11 ,"China, People's Republic Of",200511,0,12.82,CHR,"China, People's Republic Of",0,0,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,0,,,FS Ice Class II,263.23,0,413148000,,China Shipping Container Lines,0,1724,Shanghai,11612,,Dalian New Shipbuilding HI,Panamax - Containership,Dry Cargo/Passenger,Container,Container Ship,Ship Shape Including Multi-Hulls,Cellular Container,Container Ship (Fully Cellular),,24.2,Dalian C4250,A33A2CC,4250
9312597,XIN DAN DONG,In Service/Commission,Container Ship (Fully Cellular),41482,52210,0,32.25,,"Segregated Ballast 11,612; TEU: 4,250 TEU @14:2,805 C Ho 1586 TEU C Dk 2664 TEU incl 400 ref C.",0,China Classification Society (2006-07-00)Survey Type: Date: 2006-04 ,"China, People's Republic Of",200604,0,12.8,CHR,"China, People's Republic Of",0,0,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,0,,,FS Ice Class II,263.23,0,413153000,,China Shipping Container Lines,0,1724,Shanghai,11612,,Dalian Shipbuilding Ind - No 2,Panamax - Containership,Dry Cargo/Passenger,Container,Container Ship,Ship Shape Including Multi-Hulls,Cellular Container,Container Ship (Fully Cellular),,24.2,Dalian C4250,A33A2CC,4250
9312664,POS LEADER,In Service/Commission,Bulk Carrier,19796,31907,0,29.4,,"Grain 42,620; Bale 41,095; Segregated Ballast 11,518",0,Nippon Kaiji Kyokai (2011-08-00)Survey Type: Date: 2006-06 ,Japan,200607,0,9.57,HKG,"Hong Kong, China",0,1580,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,42620,"Double Bottom Entire, Double Sides Partial",DBEDSP,,175.53,0,477214800,,STX Pan Ocean Co Ltd,0,9377,Hong Kong,11518,,Hakodate Dock - Hakodate,Large Handysize - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,14.4,Hakodate SH 32,A21A2BC,0
9312755,HANJIN XIAMEN,In Service/Commission,Container Ship (Fully Cellular),74962,80855,0,40,,"Segregated Ballast 23,006; TEU: 6,655 TEU @14:4,840 C Ho 3105 TEU C Dk 3550 TEU incl 600 ref C",0,Korean Register of Shipping (2007-03-00)Survey Type: Date: 2007-03  KR: Special Survey Date: 2007-03-08 Class Notation: +KRS  1 ,"Korea, South",200703,0,14.2,PAN,Panama,0,0,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,0,,,,304,0,372557000,,Hanjin Shipping Co Ltd,0,1010,Panama,23006,,Hyundai Heavy Inds - Ulsan,Post Panamax - Containership,Dry Cargo/Passenger,Container,Container Ship,Ship Shape Including Multi-Hulls,Cellular Container,Container Ship (Fully Cellular),,26.5,Hyundai 6500,A33A2CC,6655
9312949,HANJIN PORT KELANG,In Service/Commission,Container Ship (Fully Cellular),75061,80811,0,40,,"TEU: 6,655 TEU @14:4,840 C Ho 3105 TEU C Dk 3550 TEU incl 600 ref C",0,Korean Register of Shipping (2006-09-00)Survey Type: Date: 2006-09  KR: Special Survey Date: 2006-09-26 Class Notation: +KRS  1 ,"Korea, South",200609,0,14.2,PAN,Panama,0,0,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,0,,,,304,0,372025000,,Hanjin Shipping Co Ltd,0,1010,Panama,0,,Hyundai Samho Heavy Industries,Post Panamax - Containership,Dry Cargo/Passenger,Container,Container Ship,Ship Shape Including Multi-Hulls,Cellular Container,Container Ship (Fully Cellular),,26.5,Hyundai 6500,A33A2CC,6655
9313058,IOLCOS UNITY,In Service/Commission,Bulk Carrier,40485,74476,0,32.26,,"Grain 91,717; Bale 89,882; Segregated Ballast 20,962",0,"Nippon Kaiji Kyokai (2009-02-00)Survey Type: Date: 2006-12  NK: Class Notation: NS(BC)(ESP)(IWS)/MNS CHG, MPP, LSA, RCF, M0, AFS","China, People's Republic Of",200612,87337,14.25,MTA,Malta,0,137.38,DF,Distillate Fuel,2656.66,RF,Residual Fuel,0,91717,,,,225,0,256347000,,Iolcos Hellenic Maritime,0,9130,Valletta,20962,,Hudong-Zhonghua Shipbuilding,Panamax - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,13.8,HUDONG 74,A21A2BC,0
9313060,EVANGELIA PETRAKIS,In Service/Commission,Bulk Carrier,40485,74475,0,32.26,,"Grain 91,717; Bale 89,883",0,"Nippon Kaiji Kyokai (2009-02-00)Survey Type: Date: 2007-01  NK: Class Notation: NS(BC)(ESP)/MNS CHG, MPP, LSA, RCF, M0, AFS","China, People's Republic Of",200701,0,14.25,MTA,Malta,0,2580,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,91717,,,,225,0,256357000,,Iolcos Hellenic Maritime,0,9130,Valletta,0,,Hudong-Zhonghua Shipbuilding,Panamax - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,13.8,HUDONG 74,A21A2BC,0
9313254,ST. NIKOLAI,In Service/Commission,Products Tanker,26909,47297,0,32.2,,"Liquid @ 98% 52,628; Segregated Ballast 18,417; Slops 2,071; Cargo heating coils",4,"Nippon Kaiji Kyokai (2005-04-00) NK: Special Survey Date: 2010-03-24 Class Notation: NS*(TOB)(PS-DA&FA)(ESP)(IWS)/MNS* CHG, MPP, LSA, RCF, M0, AFS",Japan,200504,56264,12.617,SNG,Singapore,0,101.92,DF,Distillate Fuel,1561.12,RF,Residual Fuel,0,0,Double Hull (Marpol),DH,,182.5,52628,564674000,14,Rudolf A Oetker KG,0,610,Singapore,18417,,Onomichi Dockyard Co Ltd,MR Large - Tanker,Tankers,Oil,Oil Products Tanker,Ship Shape Including Multi-Hulls,Petroleum Products,Products Tanker,2071,15.3,,A13B2TP,0
9313280,BETEIGEUZE,In Service/Commission,Bulk Carrier,40424,77089,0,32.26,,"Grain 89,484; Bale 89,121; Segregated Ballast 24,856",0,"Germanischer Lloyd (2007-09-00),Nippon Kaiji Kyokai (2012-10-00) GL: Special Survey Date: 2007-09-14 Class Notation: +/. 100 A5 BULK CARRIER ESP IW SOLAS-II-2, REG.19 DBC C1D11 BC-A, STRENGTHENED FOR HEAVY CARGO HOLD NOS. 2, 4 & 6 MAY BE EMPTY",Japan,200709,0,14.168,LIB,Liberia,0,123.33,DF,Distillate Fuel,2083.35,RF,Residual Fuel,0,89484,Double Hull,DHE,,225,0,636090995,,Orion Bulkers GmbH & Co KG,0,4028,Monrovia                              ,24856,,Oshima Shipbuilding Co Ltd,Panamax - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,14.5,Oshima 76D,A21A2BC,0
